City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
110,Butaritari,KI,3.0707,172.7902,81.23,78,69,8.23,light rain
111,Severo-Kuril'sk,RU,50.6789,156.125,25.21,68,94,18.86,overcast clouds
112,Hithadhoo,MV,-0.6,73.0833,81.59,74,43,11.77,scattered clouds
113,Tuni,IN,17.35,82.55,72.28,87,41,5.68,scattered clouds
114,Deputatsky,RU,69.3,139.9,-38.25,99,57,3.15,broken clouds
115,Atuona,PF,-9.8,-139.0333,78.26,76,85,21.74,overcast clouds
116,Pingshan,CN,22.9938,114.7131,47.5,41,100,13.42,overcast clouds
117,Keti Bandar,PK,24.1447,67.4497,76.08,55,52,7.45,broken clouds
118,Knysna,ZA,-34.0363,23.0471,67.24,92,95,7.47,light rain
119,Digby,CA,44.6169,-65.7655,40.15,93,100,24.87,overcast clouds
120,Faanui,PF,-16.4833,-151.75,80.1,76,100,10.2,overcast clouds
121,Cockburn Town,TC,21.4612,-71.1419,78.55,63,34,13.31,scattered clouds
122,Pevek,RU,69.7008,170.3133,0.99,92,10,2.17,clear sky
123,Mar del Plata,AR,-38.0023,-57.5575,77.83,66,0,25.99,clear sky
124,Carnarvon,AU,-24.8667,113.6333,74.93,68,0,22.73,clear sky
125,Oranjemund,NA,-28.55,16.4333,68.05,85,24,14.5,few clouds
126,Portland,US,45.5234,-122.6762,35.42,87,20,0.0,few clouds
127,Hermanus,ZA,-34.4187,19.2345,72.81,75,80,16.58,broken clouds
128,Clyde River,CA,70.4692,-68.5914,10.63,85,100,13.8,overcast clouds
129,Bluff,NZ,-46.6,168.3333,52.92,84,100,12.28,overcast clouds
130,Saint Paul Harbor,US,57.79,-152.4072,29.71,86,75,5.75,broken clouds
131,Anloga,GH,5.7947,0.8973,82.15,76,98,11.54,overcast clouds
132,Bilma,NE,18.6853,12.9164,75.87,18,34,5.7,scattered clouds
133,Comodoro Rivadavia,AR,-45.8667,-67.5,80.46,16,0,16.11,clear sky
134,Puerto Ayora,EC,-0.7393,-90.3518,78.76,95,100,4.0,overcast clouds
135,San Cristobal,VE,7.7669,-72.225,77.18,42,43,6.64,scattered clouds
136,Naliya,IN,23.2667,68.8333,76.17,31,5,5.95,clear sky
137,Hastings,GB,50.8552,0.5729,41.52,64,98,10.83,overcast clouds
138,Requena,ES,39.4883,-1.1004,48.79,83,52,5.23,broken clouds
139,Luanda,AO,-8.8368,13.2343,78.8,78,20,13.8,few clouds
140,Bambous Virieux,MU,-20.3428,57.7575,78.22,73,40,17.27,scattered clouds
141,Flinders,AU,-34.5833,150.8552,59.18,81,89,7.0,light rain
142,Santander Jiménez,MX,24.2167,-98.4667,57.06,74,100,11.21,overcast clouds
143,Vardø,NO,70.3705,31.1107,13.98,85,40,26.46,scattered clouds
144,Suntar,RU,62.1444,117.6319,-39.48,100,64,2.15,broken clouds
145,Dikson,RU,73.5069,80.5464,7.09,91,100,20.22,overcast clouds
146,Saskatoon,CA,52.1168,-106.6345,-2.22,78,100,17.27,overcast clouds
147,Half Moon Bay,US,37.4636,-122.4286,51.87,83,0,3.44,clear sky
148,Cururupu,BR,-1.8283,-44.8683,88.45,52,71,8.1,broken clouds
149,Acarí,PE,-15.4311,-74.6158,76.69,68,100,9.37,overcast clouds
150,Esperance,AU,-33.8667,121.9,59.45,77,6,12.59,clear sky
151,Yar-Sale,RU,66.8333,70.8333,10.27,95,100,9.8,overcast clouds
152,Provideniya,RU,64.3833,-173.3,22.5,81,100,16.42,overcast clouds
153,Grindavik,IS,63.8424,-22.4338,28.87,100,100,27.63,snow
154,Bredasdorp,ZA,-34.5322,20.0403,69.17,75,86,13.49,overcast clouds
155,Krasnovishersk,RU,60.4078,57.082,-1.77,100,98,2.48,overcast clouds
156,Sinegor'ye,RU,62.0788,150.477,-11.56,99,100,3.09,overcast clouds
157,Broken Hill,AU,-31.95,141.4333,68.45,33,100,13.85,overcast clouds
158,Diffa,NE,13.3154,12.6113,77.4,16,61,8.46,broken clouds
159,Aksay,RU,47.26,39.87,45.25,71,53,5.99,broken clouds
160,Cootamundra,AU,-34.65,148.0333,49.95,70,0,17.34,clear sky
161,Gondanglegi,ID,-7.7479,112.0132,74.61,90,85,5.35,overcast clouds
162,Behshahr,IR,36.6923,53.5526,55.35,91,100,2.48,overcast clouds
163,Lamar,US,33.6668,-95.5836,44.37,42,0,12.66,clear sky
164,Cape Town,ZA,-33.9258,18.4232,73.81,72,20,16.11,few clouds
165,Boralday,KZ,43.3578,76.8594,22.86,74,40,8.95,mist
166,Saint George,US,37.1041,-113.5841,34.63,56,0,3.44,clear sky
167,Beyneu,KZ,45.3167,55.2,34.36,83,5,12.41,clear sky
168,Coffs Harbour,AU,-30.3,153.1333,63.14,63,78,14.97,broken clouds
169,Vostok,RU,46.4856,135.8833,-21.28,99,96,3.76,overcast clouds
170,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,5.75,clear sky
171,Karratha,AU,-20.7377,116.8463,78.91,69,15,17.49,few clouds
172,São Filipe,CV,14.8961,-24.4956,77.31,68,90,5.95,overcast clouds
173,Mtimbira,TZ,-8.7833,36.35,85.21,44,41,3.47,scattered clouds
174,Qaanaaq,GL,77.484,-69.3632,-3.03,69,71,10.45,broken clouds
175,Baracoa,CU,20.3467,-74.4958,82.36,55,6,5.73,clear sky
